alg,mode,threads,ds,memRestriction,throughput
NL,,16,A,275,0
BHJ,,2,A,275,0.03
RHO,mt,3,A,275,25.7136
MCJoin,st,1,A,275,19.53
PaMeCo,mt,3,A,100,13.20
CrkJoin,,16,A,275,84.0586
NL,,16,B,275,0.001
BHJ,,2,B,275,0.02
RHO,mt,2,B,275,17.5066
MCJoin,st,1,B,275,6.66
PaMeCo,mt,3,B,100,9.86
CrkJoin,,16,B,275,80.7435
NL,mt,16,C,275,0
BHJ,mt,2,C,275,0
RHO,mt,3,C,275,22.55
MCJoin,st,1,C,275,4.58
PaMeCo,mt,3,C,100,3.79
CrkJoin,,16,C,275,66.83
NL,mt,16,D,275,0.001
BHJ,mt,2,D,275,4.73
RHO,mt,3,D,275,26.8647
PaMeCo,mt,3,D,100,22.4
MCJoin,st,1,D,275,10.88
CrkJoin,,16,D,275,78.77
