partitionNumber,time
1,11054
2,2154
3,1154
4,680
5,437
6,326
7,215
8,161
9,435
10,319
11,225
12,195
13,319
14,214
15,217
16,160
17,684
18,447
19,340
20,214
21,319
22,213
23,214
24,160
25,437
26,326
27,214
28,160
29,317
30,214
31,213
32,161
33,1182
34,729
35,448
36,319
37,321
38,213
39,213
40,160
41,438
42,319
43,212
44,167
45,318
46,213
47,213
48,160
49,682
50,438
51,320
52,214
53,321
54,214
55,215
56,163
57,437
58,332
59,212
60,160
61,322
62,215
63,214
64,160
65,2205
66,1185
67,675
68,437
69,320
70,213
71,213
72,160
73,436
74,318
75,223
76,168
77,319
78,214
79,215
80,160
81,672
82,438
83,320
84,217
85,324
86,214
87,214
88,160
89,452
90,318
91,214
92,160
93,319
94,213
95,214
96,161
97,1158
98,685
99,456
100,320
101,359
102,214
103,214
104,161
105,437
106,320
107,213
108,160
109,319
110,214
111,213
112,160
113,688
114,438
115,321
116,213
117,319
118,214
119,213
120,160
121,437
122,317
123,213
124,160
125,319
126,214
127,213
128,176
129,4078
130,2215
131,1149
132,684
133,440
134,324
135,213
136,160
137,440
138,319
139,214
140,162
141,317
142,213
143,213
144,160
145,685
146,439
147,320
148,214
149,318
150,213
151,214
152,161
153,438
154,318
155,213
156,160
157,320
158,215
159,220
160,160
161,1167
162,673
163,472
164,345
165,335
166,265
167,214
168,216
169,446
170,320
171,215
172,160
173,320
174,214
175,213
176,160
177,681
178,438
179,320
180,214
181,321
182,225
183,213
184,160
185,437
186,320
187,213
188,160
189,320
190,214
191,214
192,160
193,1945
194,1206
195,674
196,436
197,319
198,214
199,214
200,160
201,443
202,318
203,213
204,160
205,318
206,252
207,214
208,164
209,669
210,437
211,320
212,214
213,319
214,224
215,213
216,161
217,436
218,319
219,214
220,161
221,319
222,213
223,214
224,160
225,933
226,679
227,436
228,318
229,321
230,214
231,213
232,160
233,437
234,319
235,213
236,160
237,318
238,214
239,214
240,161
241,406
242,436
243,318
244,214
245,319
246,214
247,215
248,160
249,220
250,221
251,131
252,4
253,4
254,4
255,4
256,3
