mode,alg,ds,sizeR,sizeS,phase,cycles
sgx,CRKJ,S=10R,1000000,10000000,build,269693054
sgx,CRKJ,S=10R,1000000,10000000,partition,728031006
sgx,CRKJ,S=10R,1000000,10000000,probe,288067720
sgx,CRKJ,S=10R,2000000,20000000,build,603605528
sgx,CRKJ,S=10R,2000000,20000000,partition,1459575234
sgx,CRKJ,S=10R,2000000,20000000,probe,634648520
sgx,CRKJ,S=10R,4000000,40000000,build,1271262742
sgx,CRKJ,S=10R,4000000,40000000,partition,2907988750
sgx,CRKJ,S=10R,4000000,40000000,probe,1407051298
sgx,CRKJ,S=10R,8000000,80000000,build,2567658856
sgx,CRKJ,S=10R,8000000,80000000,partition,5828901172
sgx,CRKJ,S=10R,8000000,80000000,probe,3009656910
sgx,CRKJ,S=10R,16000000,160000000,build,5198903430
sgx,CRKJ,S=10R,16000000,160000000,partition,11643071904
sgx,CRKJ,S=10R,16000000,160000000,probe,6189410224
sgx,CRKJ,S=10R,32000000,320000000,build,10498119056
sgx,CRKJ,S=10R,32000000,320000000,partition,23260056590
sgx,CRKJ,S=10R,32000000,320000000,probe,12675968104
sgx,CRKJ,S=10R,64000000,640000000,build,21617640058
sgx,CRKJ,S=10R,64000000,640000000,partition,46499446254
sgx,CRKJ,S=10R,64000000,640000000,probe,36141852362
sgx,CRKJ,S=10R,128000000,1280000000,build,44146325926
sgx,CRKJ,S=10R,128000000,1280000000,partition,93045547712
sgx,CRKJ,S=10R,128000000,1280000000,probe,204028442638
sgx,CRKJ,S=10R,256000000,2560000000,build,100232299974
sgx,CRKJ,S=10R,256000000,2560000000,partition,185967700854
sgx,CRKJ,S=10R,256000000,2560000000,probe,800465149528
sgx,CRKJ,S=R,1000000,1000000,build,262367372
sgx,CRKJ,S=R,1000000,1000000,partition,74009086
sgx,CRKJ,S=R,1000000,1000000,probe,34959308
sgx,CRKJ,S=R,2000000,2000000,build,586037212
sgx,CRKJ,S=R,2000000,2000000,partition,147904784
sgx,CRKJ,S=R,2000000,2000000,probe,73462502
sgx,CRKJ,S=R,4000000,4000000,build,1272708674
sgx,CRKJ,S=R,4000000,4000000,partition,291214284
sgx,CRKJ,S=R,4000000,4000000,probe,162148658
sgx,CRKJ,S=R,8000000,8000000,build,2586018746
sgx,CRKJ,S=R,8000000,8000000,partition,587284470
sgx,CRKJ,S=R,8000000,8000000,probe,357008214
sgx,CRKJ,S=R,16000000,16000000,build,5211897656
sgx,CRKJ,S=R,16000000,16000000,partition,1161344086
sgx,CRKJ,S=R,16000000,16000000,probe,766522282
sgx,CRKJ,S=R,32000000,32000000,build,10530880410
sgx,CRKJ,S=R,32000000,32000000,partition,2320958980
sgx,CRKJ,S=R,32000000,32000000,probe,1632735242
sgx,CRKJ,S=R,64000000,64000000,build,21582634500
sgx,CRKJ,S=R,64000000,64000000,partition,4659897348
sgx,CRKJ,S=R,64000000,64000000,probe,5432657168
sgx,CRKJ,S=R,128000000,128000000,build,43921266520
sgx,CRKJ,S=R,128000000,128000000,partition,9309726904
sgx,CRKJ,S=R,128000000,128000000,probe,27587091074
sgx,CRKJ,S=R,256000000,256000000,build,97843811474
sgx,CRKJ,S=R,256000000,256000000,partition,18619985480
sgx,CRKJ,S=R,256000000,256000000,probe,91497219998
sgx,CRKJ,S=R,512000000,512000000,build,281282646840
sgx,CRKJ,S=R,512000000,512000000,partition,37217956510
sgx,CRKJ,S=R,512000000,512000000,probe,222354800262
sgx,CRKJ,S=R,1024000000,1024000000,build,816380167910
sgx,CRKJ,S=R,1024000000,1024000000,partition,74863259476
sgx,CRKJ,S=R,1024000000,1024000000,probe,676128669262
