mode,alg,threads,dsName,sizeR,throughput
sgx,CRKJ,1,S=0,2000000,10.26
sgx,CRKJ,1,S=0,2378414,15.35
sgx,CRKJ,1,S=0,2828427,12.91
sgx,CRKJ,1,S=0,3363585,11.06
sgx,CRKJ,1,S=0,4000000,9.47
sgx,CRKJ,1,S=0,4756828,14.42
sgx,CRKJ,1,S=0,5656854,12.55
sgx,CRKJ,1,S=0,6727171,10.88
sgx,CRKJ,1,S=0,8000000,9.36
sgx,CRKJ,1,S=0,9513656,14.35
sgx,CRKJ,1,S=0,11313708,12.43
sgx,CRKJ,1,S=0,13454342,10.85
sgx,CRKJ,1,S=0,16000000,9.31
sgx,CRKJ,1,S=0,19027313,14.18
sgx,CRKJ,1,S=0,22627416,12.15
sgx,CRKJ,1,S=0,26908685,10.78
sgx,CRKJ,1,S=0,32000000,9.23
sgx,CRKJ,1,S=0,38054627,14.13
sgx,CRKJ,1,S=0,45254833,12.22
sgx,CRKJ,1,S=0,53817370,10.67
sgx,CRKJ,1,S=0,64000000,9.14
sgx,CRKJ,1,S=0,76109255,13.71
sgx,CRKJ,1,S=0,90509667,11.9
sgx,CRKJ,1,S=0,107634741,10.3
sgx,CRKJ,1,S=0,128000000,8.9
sgx,CRKJ,1,S=0,152218510,11.93
sgx,CRKJ,1,S=0,181019335,10.63
sgx,CRKJ,1,S=0,215269482,9.25
sgx,CRKJ,1,S=0,256000000,8.07
sgx,CRKJ,1,S=0,304437021,7.62
sgx,CRKJ,1,S=0,362038671,7.01
sgx,CRKJ,1,S=0,430538964,6.4
sgx,CRKJ,1,S=0,512000000,5.8
sgx,CRKJ,1,S=0,608874042,5.7
sgx,CRKJ,1,S=0,724077343,5.36
sgx,CRKJ,1,S=0,861077929,5.02
sgx,CRKJ,1,S=0,1024000000,4.63
